MMTC Name,Dispensing Locations,Medical Marijuana (mgs THC),Low-THC Cannabis (mgs CBD),Marijuana in a Form for Smoking (oz),Report Date
Sunburn,14,9812463,8897,2661.419,2024-07-19
Insa Insa,10,2168535,0,1200.6,2024-07-19
"Cookies Florida, Inc.",10,874820,0,1373.853,2024-07-19
Jungle Boys,9,2347065,0,3912.254,2024-07-19
The Flowery,8,5678688,0,2818.658,2024-07-19
House of Platinum Cannabis,4,617478,800,269.358,2024-07-19
Goldflower Cannabis,5,1610578,0,407.403,2024-07-19
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-07-19
Revolution Florida,0,0,0,0.0,2024-07-19
"Prosperity Medical, LLC",0,0,0,0.0,2024-07-19
TheraTrue Florida,0,0,0,0.0,2024-07-19
Trulieve,140,110413052,455130,41719.332,2024-07-12
MÜV,77,28975583,84241,8959.719,2024-07-12
Ayr Ayr,65,37542614,942440,6497.17,2024-07-12
Curaleaf,62,48215042,216200,10333.386,2024-07-12
Surterra Wellness,45,28886522,1213653,5270.396,2024-07-12
Green Dragon,38,4412911,0,1596.784,2024-07-12
FLUENT,35,14121884,67971,3735.184,2024-07-12
Sunnyside*,33,12969987,300204,5856.008,2024-07-12
VidaCann,26,6373218,213941,3412.638,2024-07-12
Sanctuary Cannabis,23,5189880,15414,3322.218,2024-07-12
GrowHealthy,19,11732530,19813,2764.945,2024-07-12
"GTI Florida, LLC",19,7108593,90336,2151.32,2024-07-12
Cannabist,14,2755823,49563,1029.284,2024-07-12
Sunburn,14,12185099,24066,3404.728,2024-07-12
Insa Insa,10,1991028,0,1042.825,2024-07-12
"Cookies Florida, Inc.",10,1208347,0,1259.776,2024-07-12
Jungle Boys,9,2883973,0,3419.094,2024-07-12
The Flowery,8,9306223,0,2792.472,2024-07-12
House of Platinum Cannabis,4,936233,268,303.21,2024-07-12
Goldflower Cannabis,5,2098643,0,472.407,2024-07-12
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-07-12
Revolution Florida,0,0,0,0.0,2024-07-12
"Prosperity Medical, LLC",0,0,0,0.0,2024-07-12
TheraTrue Florida,0,0,0,0.0,2024-07-12
Trulieve,140,117744501,541130,45927.823,2024-07-05
MÜV,77,34177518,159145,9404.75,2024-07-05
Ayr Ayr,65,42642488,720919,7730.765,2024-07-05
Curaleaf,62,46795762,233800,12794.327,2024-07-05
Surterra Wellness,45,30329181,1211835,8214.483,2024-07-05
Green Dragon,38,3904539,0,1975.328,2024-07-05
FLUENT,35,15432396,93372,3788.57,2024-07-05
Sunnyside*,33,14548610,407853,6621.75,2024-07-05
VidaCann,26,6415219,197192,3241.883,2024-07-05
Sanctuary Cannabis,23,5766752,49791,2464.561,2024-07-05
GrowHealthy,19,11436918,23010,3064.192,2024-07-05
"GTI Florida, LLC",19,8255571,152000,2316.205,2024-07-05
Cannabist,14,3685670,61874,1542.074,2024-07-05
Sunburn,14,14424157,21270,3754.556,2024-07-05
Insa Insa,10,2607627,0,1175.258,2024-07-05
"Cookies Florida, Inc.",10,1253546,0,1603.626,2024-07-05
Jungle Boys,9,2140043,0,4061.779,2024-07-05
The Flowery,8,11742837,0,3852.931,2024-07-05
House of Platinum Cannabis,4,605616,3811,269.708,2024-07-05
Goldflower Cannabis,4,1306708,0,553.157,2024-07-05
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-07-05
Revolution Florida,0,0,0,0.0,2024-07-05
"Prosperity Medical, LLC",0,0,0,0.0,2024-07-05
TheraTrue Florida,0,0,0,0.0,2024-07-05
Trulieve,139,112887187,527617,43606.21,2024-06-28
MÜV,77,31870917,196388,8657.645,2024-06-28
Ayr Ayr,64,39322131,616179,7624.065,2024-06-28
Curaleaf,62,46173968,258000,10752.031,2024-06-28
Surterra Wellness,45,31619645,1252328,7547.113,2024-06-28
Green Dragon,38,3623553,0,1531.425,2024-06-28
FLUENT,35,14172117,87725,3534.149,2024-06-28
Sunnyside*,33,12564281,313221,5546.408,2024-06-28
VidaCann,26,7215445,265801,3528.185,2024-06-28
Sanctuary Cannabis,23,5709863,41004,2491.071,2024-06-28
GrowHealthy,19,9952436,23018,3191.968,2024-06-28
"GTI Florida, LLC",19,5862992,105144,2059.395,2024-06-28
Cannabist,14,3228981,67725,1187.18,2024-06-28
Sunburn,14,10980690,12560,2713.108,2024-06-28
Insa Insa,10,1847466,0,718.879,2024-06-28
"Cookies Florida, Inc.",10,953607,0,1350.451,2024-06-28
Jungle Boys,9,2350530,0,3286.699,2024-06-28
The Flowery,8,5842335,0,2584.72,2024-06-28
House of Platinum Cannabis,4,639097,1857,222.864,2024-06-28
Goldflower Cannabis,4,1238878,0,502.707,2024-06-28
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-06-28
Revolution Florida,0,0,0,0.0,2024-06-28
"Prosperity Medical, LLC",0,0,0,0.0,2024-06-28
TheraTrue Florida,0,0,0,0.0,2024-06-28
Trulieve,137,103765695,505007,45307.887,2024-06-21
MÜV,77,33083431,222047,8974.471,2024-06-21
Ayr Ayr,64,44177426,465664,7827.902,2024-06-21
Curaleaf,62,40169648,259900,9281.537,2024-06-21
Surterra Wellness,45,31144750,1682641,7691.367,2024-06-21
Green Dragon,38,3554463,0,1587.96,2024-06-21
FLUENT,35,15271278,66009,4339.743,2024-06-21
Sunnyside*,33,11846005,227967,5466.784,2024-06-21
VidaCann,26,7708964,331649,3591.563,2024-06-21
Sanctuary Cannabis,23,5595674,64095,2935.004,2024-06-21
GrowHealthy,19,10726543,27732,3063.62,2024-06-21
"GTI Florida, LLC",18,7823044,151248,1880.161,2024-06-21
Cannabist,14,3255666,66377,1347.982,2024-06-21
Sunburn,13,11752436,14895,3241.381,2024-06-21
Insa Insa,10,2448981,0,969.264,2024-06-21
"Cookies Florida, Inc.",10,1214200,0,1552.401,2024-06-21
Jungle Boys,9,2316467,0,3593.068,2024-06-21
The Flowery,8,5810207,0,2757.874,2024-06-21
House of Platinum Cannabis,4,545740,5192,278.483,2024-06-21
Goldflower Cannabis,4,1210540,0,579.943,2024-06-21
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-06-21
Revolution Florida,0,0,0,0.0,2024-06-21
"Prosperity Medical, LLC",0,0,0,0.0,2024-06-21
TheraTrue Florida,0,0,0,0.0,2024-06-21
Trulieve,137,101837431,481958,43624.809,2024-06-14
MÜV,77,31439456,282079,8976.214,2024-06-14
Ayr Ayr,64,44317616,505107,7549.553,2024-06-14
Curaleaf,62,40161201,128600,8536.384,2024-06-14
Surterra Wellness,45,27339245,1153974,6807.429,2024-06-14
Green Dragon,38,3368219,0,1665.172,2024-06-14
FLUENT,35,15684460,61012,4030.159,2024-06-14
Sunnyside*,33,11752105,251782,5566.509,2024-06-14
VidaCann,26,6234217,324880,3735.392,2024-06-14
Sanctuary Cannabis,23,5886332,41191,3846.58,2024-06-14
GrowHealthy,19,10588228,31943,3143.301,2024-06-14
"GTI Florida, LLC",17,4886651,121229,2153.042,2024-06-14
Cannabist,14,2772600,74596,1271.728,2024-06-14
Sunburn,13,10623984,82304,3263.505,2024-06-14
Insa Insa,10,1552512,0,841.963,2024-06-14
"Cookies Florida, Inc.",10,2142349,0,3508.962,2024-06-14
Jungle Boys,9,6427818,0,2582.744,2024-06-14
The Flowery,8,1039124,0,1329.64,2024-06-14
House of Platinum Cannabis,4,573683,2134,255.555,2024-06-14
Goldflower Cannabis,4,1691508,0,530.146,2024-06-14
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-06-14
Revolution Florida,0,0,0,0.0,2024-06-14
"Prosperity Medical, LLC",0,0,0,0.0,2024-06-14
Trulieve,137,102873231,503291,44748.403,2024-06-07
MÜV,77,32871827,317743,8844.364,2024-06-07
Ayr Ayr,64,47710663,588369,7520.408,2024-06-07
Curaleaf,62,32113415,55400,6450.141,2024-06-07
Surterra Wellness,45,29709121,1214905,6049.887,2024-06-07
Green Dragon,38,3528740,0,1748.683,2024-06-07
FLUENT,35,16998414,82111,4057.915,2024-06-07
Sunnyside*,33,11941242,325818,5890.662,2024-06-07
VidaCann,26,6295531,354861,3770.158,2024-06-07
Sanctuary Cannabis,23,6089772,52222,4267.763,2024-06-07
GrowHealthy,19,10714337,5472,3194.253,2024-06-07
"GTI Florida, LLC",16,7383158,145003,2371.293,2024-06-07
Cannabist,14,3128212,84574,1371.46,2024-06-07
Sunburn,13,10699231,51476,2703.692,2024-06-07
Insa Insa,10,1541328,0,765.96,2024-06-07
"Cookies Florida, Inc.",10,882913,0,1252.553,2024-06-07
Jungle Boys,9,2493062,0,3766.87,2024-06-07
The Flowery,8,5226346,0,2325.133,2024-06-07
House of Platinum Cannabis,4,552210,830,292.673,2024-06-07
Goldflower Cannabis,4,982196,0,504.515,2024-06-07
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-06-07
Revolution Florida,0,0,0,0.0,2024-06-07
"Prosperity Medical, LLC",0,0,0,0.0,2024-06-07
Trulieve,137,103310395,481873,44518.082,2024-05-31
MÜV,75,30893708,105226,10196.552,2024-05-31
Ayr Ayr,64,43145685,520954,7065.372,2024-05-31
Curaleaf,62,34310577,104100,7750.476,2024-05-31
Surterra Wellness,45,33680064,1140408,7063.077,2024-05-31
Green Dragon,37,3664706,0,1614.026,2024-05-31
FLUENT,35,16244916,74425,4300.356,2024-05-31
Sunnyside*,33,10995761,260715,5549.354,2024-05-31
VidaCann,26,6747517,311373,3825.606,2024-05-31
Sanctuary Cannabis,23,5498691,44620,3715.115,2024-05-31
GrowHealthy,19,9752874,8739,2938.28,2024-05-31
"GTI Florida, LLC",16,7822740,172905,2981.718,2024-05-31
Cannabist,14,3638132,112449,1760.089,2024-05-31
Sunburn,13,11529021,17673,3058.573,2024-05-31
Insa Insa,10,1407223,0,926.479,2024-05-31
Jungle Boys,9,2314496,0,3348.342,2024-05-31
The Flowery,8,8328419,0,3512.829,2024-05-31
"Cookies Florida, Inc.",9,1114211,0,1455.899,2024-05-31
House of Platinum Cannabis,4,496445,629,298.937,2024-05-31
Goldflower Cannabis,4,1066957,0,481.293,2024-05-31
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-05-31
Revolution Florida,0,0,0,0.0,2024-05-31
"Prosperity Medical, LLC",0,0,0,0.0,2024-05-31
Trulieve,136,102695872,545299,43897.851,2024-05-24
MÜV,75,30063776,103426,9399.545,2024-05-24
Ayr Ayr,64,44873897,474207,6540.443,2024-05-24
Curaleaf,62,46748228,153100,9219.586,2024-05-24
Surterra Wellness,45,33039207,1241366,6480.127,2024-05-24
Green Dragon,37,3628369,0,1504.844,2024-05-24
FLUENT,35,16332074,67960,4144.963,2024-05-24
Sunnyside*,33,11212897,296258,5283.86,2024-05-24
VidaCann,26,6695189,391992,3767.366,2024-05-24
Sanctuary Cannabis,23,5307610,46053,3549.026,2024-05-24
GrowHealthy,19,9792666,20064,2999.801,2024-05-24
"GTI Florida, LLC",16,3737030,79124,2739.146,2024-05-24
Cannabist,14,3439248,104990,1256.067,2024-05-24
Sunburn,13,12136529,12452,2963.138,2024-05-24
Insa Insa,10,1338344,0,793.702,2024-05-24
Jungle Boys,8,1860067,0,2928.609,2024-05-24
The Flowery,7,6302861,0,2515.866,2024-05-24
"Cookies Florida, Inc.",7,875436,0,1065.602,2024-05-24
House of Platinum Cannabis,4,475384,1765,235.411,2024-05-24
Goldflower Cannabis,4,897169,0,387.66,2024-05-24
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-05-24
Revolution Florida,0,0,0,0.0,2024-05-24
"Prosperity Medical, LLC",0,0,0,0.0,2024-05-24
Trulieve,136,106835830,424080,46536.636,2024-05-17
MÜV,75,28829372,98401,7416.754,2024-05-17
Ayr Ayr,64,44122090,474743,6548.584,2024-05-17
Surterra Wellness,45,30662267,1412579,6239.212,2024-05-17
Green Dragon,37,2989328,0,1211.925,2024-05-17
FLUENT,35,16052293,77511,4164.65,2024-05-17
Sunnyside*,33,10919696,264364,5102.765,2024-05-17
VidaCann,26,5859771,311498,3913.485,2024-05-17
Sanctuary Cannabis,23,5251325,45612,2883.091,2024-05-17
GrowHealthy,19,8048897,15580,2860.996,2024-05-17
"GTI Florida, LLC",16,4942712,130243,2455.68,2024-05-17
Cannabist,14,3509988,90107,1382.347,2024-05-17
Sunburn,13,10228990,9360,2552.361,2024-05-17
Insa Insa,10,1378006,0,777.079,2024-05-17
Jungle Boys,8,1986945,0,3080.593,2024-05-17
The Flowery,7,5760889,0,2667.171,2024-05-17
"Cookies Florida, Inc.",7,912773,0,1085.454,2024-05-17
House of Platinum Cannabis,4,445822,1275,209.403,2024-05-17
Goldflower Cannabis,3,878500,0,377.3,2024-05-17
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-05-17
Revolution Florida,0,0,0,0.0,2024-05-17
"Prosperity Medical, LLC",0,0,0,0.0,2024-05-17
Trulieve,136,104683530,571087,43970.536,2024-05-10
MÜV,75,30363870,98322,7786.445,2024-05-10
Ayr Ayr,64,42359531,543028,6063.031,2024-05-10
Curaleaf,61,44270815,256350,11654.872,2024-05-10
Surterra Wellness,45,30632882,1265386,6030.756,2024-05-10
Green Dragon,37,3282276,0,1200.097,2024-05-10
FLUENT,35,15869491,67130,4322.145,2024-05-10
Sunnyside*,33,10483949,267113,5213.462,2024-05-10
VidaCann,26,6527564,438671,3971.804,2024-05-10
Sanctuary Cannabis,23,5236314,64453,3493.294,2024-05-10
GrowHealthy,18,8590865,0,2844.881,2024-05-10
"GTI Florida, LLC",16,4803205,89449,2264.508,2024-05-10
Cannabist,14,3709200,113519,1725.329,2024-05-10
Sunburn,13,10270131,9702,2357.752,2024-05-10
Insa Insa,10,1582299,0,763.58,2024-05-10
Jungle Boys,8,2166084,0,2943.622,2024-05-10
The Flowery,7,5381952,0,2590.091,2024-05-10
"Cookies Florida, Inc.",7,620897,0,905.56,2024-05-10
House of Platinum Cannabis,4,487850,983,212.038,2024-05-10
Goldflower Cannabis,3,800430,0,346.044,2024-05-10
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-05-10
Revolution Florida,0,0,0,0.0,2024-05-10
"Prosperity Medical, LLC",0,0,0,0.0,2024-05-10
Trulieve,135,109022315,539375,43386.835,2024-05-03
MÜV,74,28445512,111164,7469.574,2024-05-03
Ayr Ayr,64,41574295,483657,5881.536,2024-05-03
Curaleaf,61,53431157,176800,11477.226,2024-05-03
Surterra Wellness,45,26388617,1266699,7587.357,2024-05-03
Green Dragon,37,3174911,0,1137.848,2024-05-03
FLUENT,35,15307936,64160,3817.653,2024-05-03
Sunnyside*,33,10189384,284204,4938.439,2024-05-03
VidaCann,26,5677026,342588,3897.498,2024-05-03
Sanctuary Cannabis,23,5224410,86505,2919.865,2024-05-03
GrowHealthy,18,8366722,0,2801.647,2024-05-03
"GTI Florida, LLC",16,5469071,107383,2146.691,2024-05-03
Cannabist,14,3234526,72310,1456.292,2024-05-03
Sunburn,13,9934450,11170,2147.527,2024-05-03
Insa Insa,10,1337407,0,752.934,2024-05-03
Jungle Boys,8,1854869,0,3028.698,2024-05-03
The Flowery,7,5921520,0,2312.378,2024-05-03
"Cookies Florida, Inc.",7,788429,0,836.179,2024-05-03
House of Platinum Cannabis,4,424238,1914,257.86,2024-05-03
Goldflower Cannabis,3,964262,0,374.289,2024-05-03
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-05-03
Revolution Florida,0,0,0,0.0,2024-05-03
"Prosperity Medical, LLC",0,0,0,0.0,2024-05-03
Trulieve,135,124998914,579805,47253.121,2024-04-26
MÜV,74,46628003,193872,12734.675,2024-04-26
Ayr Ayr,64,51302387,479931,6961.314,2024-04-26
Curaleaf,61,62523141,367400,16336.55,2024-04-26
Surterra Wellness,45,36909940,1681372,9339.992,2024-04-26
Green Dragon,37,4049265,0,1506.576,2024-04-26
FLUENT,35,20871167,146928,4565.817,2024-04-26
Sunnyside*,33,15186651,265093,5894.287,2024-04-26
VidaCann,26,7079226,536674,4086.468,2024-04-26
Sanctuary Cannabis,23,5988772,159275,3120.503,2024-04-26
GrowHealthy,18,10939337,0,3815.197,2024-04-26
"GTI Florida, LLC",16,7658235,177764,3839.122,2024-04-26
Cannabist,14,5749405,136168,3266.777,2024-04-26
Sunburn,13,10762924,35047,2493.715,2024-04-26
Insa Insa,10,1687133,0,968.217,2024-04-26
Jungle Boys,8,3565521,0,3832.389,2024-04-26
The Flowery,7,8210864,0,2827.543,2024-04-26
"Cookies Florida, Inc.",7,2172370,0,1733.589,2024-04-26
House of Platinum Cannabis,4,714341,7429,417.331,2024-04-26
Goldflower Cannabis,3,716326,0,665.087,2024-04-26
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-04-26
Revolution Florida,0,0,0,0.0,2024-04-26
"Prosperity Medical, LLC",0,0,0,0.0,2024-04-26
Trulieve,135,113513205,590435,46951.722,2024-04-19
MÜV,74,33850203,153362,6931.006,2024-04-19
Ayr Ayr,64,45943883,490551,6251.195,2024-04-19
Curaleaf,61,47714191,311700,12253.616,2024-04-19
Surterra Wellness,45,33843473,1234073,7416.745,2024-04-19
Green Dragon,37,2955941,0,1435.482,2024-04-19
FLUENT,35,15827374,91908,5402.139,2024-04-19
Sunnyside*,33,12609128,275910,5919.984,2024-04-19
